               Entry              Nevents                           Time                    Temperature                         Energy               C_Pt*               CO_Pt*                 CO2*              CHO_Pt*                   H*                H_Pt*              COH_Pt*             COOH_Pt*               OH_Pt*                 COH*                   O*               CH_Pt*                O_Pt*                  CO*                   C*                 CH3*                COOH*              CH2_Pt*              CH3_Pt*                 CH2*              CO2_Pt*                 CHO*                 H2O*                  CH*                  OH*              H2O_Pt*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.1000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         1.8761689860010493E-06         1.1000000000000000E+03        -8.6491999999998626E+01                   8                    1                   27                    0                   21                    1                    0                    0                    0                    0                   11                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                   -9                    0                   13                    5                  -41                    1
                   3               200000         2.4846546343484076E-06         1.1000000000000000E+03        -1.0851899999999866E+02                   8                    3                   34                    0                   19                    0                    0                    0                    0                    0                   16                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                   -9                    0                   16                    6                  -54                    1
                   4               300000         3.8585541171185466E-06         1.1000000000000000E+03        -1.1928099999999850E+02                   8                    4                   33                    0                   20                    0                    0                    0                    0                    0                   24                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                   -9                    0                   24                    6                  -61                    1
                   5               400000         4.7848607310314661E-06         1.1000000000000000E+03        -1.3747299999999919E+02                   6                    5                   40                    0                   20                    1                    0                    0                    0                    0                   25                    0                    0                    1                    1                    0                    0                    0                    0                    1                    0                    0                    0                    0                    3                    0                  -11                    0                   30                    7                  -73                    2
                   6               500000         5.0482057163035438E-06         1.1000000000000000E+03        -1.5078499999999906E+02                   6                    5                   44                    0                   24                    0                    0                    0                    0                    0                   24                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                  -12                    0                   33                    7                  -79                    2
                   7               600000         5.2659343338544138E-06         1.1000000000000000E+03        -1.4634299999999905E+02                   6                    5                   41                    0                   29                    1                    0                    0                    0                    0                   23                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    1                    5                    0                  -14                    0                   35                    8                  -76                    2
                   8               700000         5.4325275990276488E-06         1.1000000000000000E+03        -1.5277999999999901E+02                   6                    5                   42                    0                   27                    0                    0                    0                    0                    0                   24                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    1                    6                    0                  -14                    0                   36                    8                  -79                    2
                   9               800000         5.6669638675670958E-06         1.1000000000000000E+03        -1.5590349999999901E+02                   7                    5                   44                    0                   26                    0                    0                    0                    0                    0                   24                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    1                    7                    0                  -14                    0                   36                    9                  -81                    2
                  10               900000         6.1740625260153725E-06         1.1000000000000000E+03        -1.6502549999999897E+02                   7                    5                   48                    0                   28                    0                    0                    0                    0                    0                   24                    0                    0                    1                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                  -14                    0                   36                    9                  -85                    2
                  11              1000000         6.6616737350319088E-06         1.1000000000000000E+03        -1.6789149999999890E+02                   7                    5                   49                    0                   27                    0                    0                    0                    0                    0                   23                    0                    0                    1                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                  -14                    0                   36                    9                  -86                    2
                  12              1100000         7.2677535949864106E-06         1.1000000000000000E+03        -1.5950849999999895E+02                   7                    5                   44                    0                   25                    1                    0                    0                    0                    0                   24                    0                    0                    1                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                  -14                    0                   38                    9                  -83                    2
                  13              1200000         7.7209394373901187E-06         1.1000000000000000E+03        -1.5969449999999895E+02                   7                    5                   43                    0                   25                    1                    0                    0                    0                    0                   24                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                  -14                    0                   40                    9                  -83                    2
                  14              1300000         8.3012735046938488E-06         1.1000000000000000E+03        -1.5759449999999893E+02                   7                    3                   43                    0                   25                    0                    0                    0                    0                    0                   21                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                  -14                    0                   41                    9                  -82                    2
                  15              1400000         9.1810441466256699E-06         1.1000000000000000E+03        -1.6675099999999892E+02                   8                    2                   47                    0                   27                    0                    0                    0                    0                    0                   24                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                  -14                    0                   43                    9                  -86                    2
                  16              1500000         9.9786136764627482E-06         1.1000000000000000E+03        -1.6386099999999894E+02                   8                    2                   44                    0                   28                    0                    0                    0                    0                    0                   27                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    6                    0                  -14                    0                   45                    9                  -85                    2
                  17              1600000         1.1142435999796274E-05         1.1000000000000000E+03        -1.5611599999999899E+02                   8                    2                   41                    0                   25                    0                    0                    0                    0                    0                   26                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    7                    0                  -14                    0                   45                    9                  -83                    3
                  18              1700000         1.2350089132168787E-05         1.1000000000000000E+03        -1.6139499999999907E+02                   6                    6                   41                    0                   27                    0                    0                    0                    0                    0                   27                    0                    0                    0                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    7                    0                  -16                    0                   48                    9                  -87                    4
                  19              1800000         1.2674409196058833E-05         1.1000000000000000E+03        -1.7093099999999913E+02                   6                    6                   46                    0                   23                    2                    0                    0                    0                    0                   27                    0                    0                    1                    0                    0                    0                    0                    0                    1                    0                    0                    0                    1                    8                    0                  -16                    0                   48                   10                  -93                    4
                  20              1900000         1.2789916886466463E-05         1.1000000000000000E+03        -1.5726299999999901E+02                   6                    6                   40                    0                   25                    1                    0                    0                    0                    0                   28                    0                    0                    1                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                  -16                    0                   49                   11                  -88                    4
                  21              2000000         1.3130528328328968E-05         1.1000000000000000E+03        -1.7542799999999900E+02                   6                    6                   47                    0                   26                    0                    0                    0                    0                    0                   27                    0                    0                    1                    2                    0                    0                    1                    0                    0                    0                    0                    0                    0                   10                    0                  -17                    0                   50                   11                  -96                    4
                  22              2100000         1.3781942030041319E-05         1.1000000000000000E+03        -1.6982999999999893E+02                   6                    8                   44                    0                   25                    1                    0                    0                    0                    0                   27                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   10                    0                  -17                    0                   51                   12                  -94                    4
                  23              2200000         1.4507591044676208E-05         1.1000000000000000E+03        -1.7962899999999900E+02                   6                    8                   48                    0                   24                    0                    0                    0                    0                    0                   26                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   12                    0                  -17                    0                   52                   12                  -99                    4
                  24              2300000         1.5124487151302156E-05         1.1000000000000000E+03        -1.7461799999999903E+02                   6                    7                   44                    0                   26                    0                    0                    0                    0                    0                   29                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   10                    0                  -17                    0                   54                   12                  -96                    4
                  25              2400000         1.5635164177338467E-05         1.1000000000000000E+03        -1.6515149999999889E+02                   5                    8                   42                    0                   26                    1                    0                    0                    0                    0                   28                    0                    0                    0                    2                    0                    0                    1                    0                    0                    0                    0                    0                    0                    9                    0                  -18                    0                   54                   12                  -94                    5
                  26              2500000         1.6148212621600375E-05         1.1000000000000000E+03        -1.6741399999999896E+02                   6                    7                   44                    0                   25                    1                    0                    0                    0                    0                   27                    0                    0                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                   10                    0                  -18                    0                   54                   12                  -96                    6
                  27              2600000         1.6636997377107872E-05         1.1000000000000000E+03        -1.5531649999999891E+02                   7                    4                   38                    0                   24                    1                    0                    0                    0                    0                   27                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   11                    0                  -18                    0                   58                   12                  -91                    6
                  28              2700000         1.7607008845175280E-05         1.1000000000000000E+03        -1.6274199999999908E+02                   5                    6                   40                    0                   21                    0                    0                    0                    0                    0                   26                    0                    0                    0                    2                    0                    0                    0                    0                    0                    1                    0                    0                    0                   13                    0                  -18                    0                   61                   13                  -97                    6
                  29              2800000         1.8023928903113357E-05         1.1000000000000000E+03        -1.7070849999999888E+02                   5                    6                   43                    0                   22                    1                    0                    0                    0                    0                   29                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   11                    0                  -18                    0                   62                   13                 -100                    6
                  30              2900000         1.8397095788075429E-05         1.1000000000000000E+03        -1.6922399999999897E+02                   6                    5                   42                    0                   24                    0                    0                    0                    0                    0                   32                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   10                    0                  -18                    0                   63                   13                 -100                    6
                  31              3000000         1.8653666806647349E-05         1.1000000000000000E+03        -1.6711999999999895E+02                   6                    4                   40                    0                   24                    1                    0                    0                    0                    0                   28                    0                    0                    1                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   13                    0                  -19                    0                   64                   13                  -98                    6
                  32              3100000         1.9147843746490811E-05         1.1000000000000000E+03        -1.7266049999999899E+02                   7                    4                   42                    0                   24                    0                    0                    0                    0                    0                   26                    0                    0                    1                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   16                    0                  -20                    0                   65                   14                 -101                    6
                  33              3200000         2.0101284344806004E-05         1.1000000000000000E+03        -1.7743049999999900E+02                   7                    4                   43                    0                   25                    0                    0                    0                    0                    0                   28                    0                    0                    1                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   15                    0                  -20                    0                   66                   14                 -103                    6
                  34              3300000         2.1115568139514432E-05         1.1000000000000000E+03        -1.8084249999999903E+02                   7                    6                   42                    0                   25                    1                    0                    0                    0                    0                   31                    0                    0                    3                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   14                    0                  -20                    0                   66                   14                 -105                    6
                  35              3400000         2.2109821048538603E-05         1.1000000000000000E+03        -1.8773949999999911E+02                   7                    6                   45                    0                   24                    0                    0                    0                    0                    0                   32                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   14                    0                  -20                    0                   70                   14                 -110                    7
                  36              3500000         2.2957489090111215E-05         1.1000000000000000E+03        -1.7917549999999900E+02                   7                    5                   42                    0                   23                    0                    0                    0                    0                    0                   29                    0                    0                    1                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   17                    0                  -21                    0                   71                   15                 -107                    7
                  37              3600000         2.4018232087101537E-05         1.1000000000000000E+03        -1.9427949999999908E+02                   7                    5                   47                    0                   24                    0                    0                    0                    0                    0                   30                    0                    0                    0                    2                    0                    0                    1                    0                    0                    0                    0                    0                    0                   18                    0                  -22                    0                   74                   15                 -114                    7
                  38              3700000         2.5488495270052343E-05         1.1000000000000000E+03        -1.8724099999999885E+02                   8                    4                   43                    0                   25                    0                    0                    0                    0                    0                   32                    0                    0                    1                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   17                    0                  -22                    0                   75                   16                 -111                    7
                  39              3800000         2.7574417236821513E-05         1.1000000000000000E+03        -1.7052699999999908E+02                   8                    3                   35                    0                   23                    1                    0                    0                    0                    0                   33                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   18                    0                  -22                    0                   79                   16                 -105                    7
                  40              3900000         2.8837794180330354E-05         1.1000000000000000E+03        -1.8511399999999927E+02                   8                    3                   38                    0                   22                    0                    0                    0                    0                    0                   35                    0                    0                    2                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   20                    0                  -22                    0                   83                   16                 -113                    7
                  41              4000000         3.0804361501056939E-05         1.1000000000000000E+03        -1.9412499999999918E+02                   8                    3                   40                    0                   23                    0                    0                    0                    0                    0                   37                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   19                    0                  -22                    0                   88                   16                 -117                    7
                  42              4100000         3.2448605944173247E-05         1.1000000000000000E+03        -2.0547749999999894E+02                   7                    4                   46                    0                   21                    1                    0                    0                    0                    0                   36                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                   19                    0                  -23                    0                   90                   16                 -125                    9
                  43              4200000         3.2853714300618619E-05         1.1000000000000000E+03        -2.0326949999999908E+02                   7                    4                   45                    0                   21                    0                    0                    0                    0                    0                   36                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                   19                    0                  -23                    0                   90                   16                 -124                    9
                  44              4300000         3.3251053608751611E-05         1.1000000000000000E+03        -2.0243949999999916E+02                   7                    4                   45                    0                   20                    1                    0                    0                    0                    0                   36                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                   19                    0                  -23                    0                   90                   16                 -124                    9
                  45              4400000         3.3696854250482970E-05         1.1000000000000000E+03        -1.8724449999999911E+02                   7                    4                   38                    0                   23                    0                    0                    0                    0                    0                   38                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                   17                    0                  -23                    0                   90                   16                 -117                    9
                  46              4500000         3.4346609133595919E-05         1.1000000000000000E+03        -1.8104199999999912E+02                   6                    5                   36                    0                   21                    0                    0                    0                    0                    0                   36                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    1                   18                    0                  -23                    0                   90                   17                 -115                    9
                  47              4600000         3.4869865010041515E-05         1.1000000000000000E+03        -2.0473399999999918E+02                   6                    5                   46                    0                   21                    0                    0                    0                    0                    0                   34                    0                    0                    1                    1                    0                    0                    1                    0                    0                    0                    0                    0                    0                   21                    0                  -24                    0                   90                   17                 -126                    9
                  48              4700000         3.5888409029619514E-05         1.1000000000000000E+03        -1.9072349999999898E+02                   7                    5                   40                    0                   24                    0                    0                    0                    0                    0                   37                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   16                    0                  -24                    0                   92                   18                 -120                   10
                  49              4800000         3.7275353319219732E-05         1.1000000000000000E+03        -1.8949699999999928E+02                   6                    7                   39                    0                   26                    0                    0                    0                    0                    0                   32                    0                    0                    2                    2                    0                    0                    1                    0                    0                    0                    0                    0                    0                   20                    0                  -28                    0                   93                   20                 -122                   12
                  50              4900000         3.8385051634973491E-05         1.1000000000000000E+03        -1.7834249999999906E+02                   7                    4                   38                    0                   24                    0                    0                    0                    0                    0                   32                    0                    0                    2                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   18                    0                  -28                    0                   96                   21                 -121                   14
                  51              5000000         4.0973640044235923E-05         1.1000000000000000E+03        -1.8670249999999905E+02                   9                    0                   41                    0                   25                    0                    0                    0                    0                    0                   35                    0                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   17                    0                  -29                    0                  104                   22                 -127                   15
                  52              5100000         4.4895577241677319E-05         1.1000000000000000E+03        -1.9812999999999909E+02                   8                    1                   46                    0                   24                    0                    0                    0                    0                    0                   31                    0                    0                    0                    1                    0                    0                    1                    0                    0                    0                    0                    0                    0                   20                    0                  -31                    0                  107                   24                 -133                   15
                  53              5200000         4.5846058646884483E-05         1.1000000000000000E+03        -1.9237649999999894E+02                   7                    2                   42                    0                   28                    0                    0                    0                    0                    0                   28                    0                    0                    1                    2                    0                    0                    2                    0                    0                    0                    0                    0                    0                   22                    0                  -34                    0                  109                   25                 -131                   16
                  54              5300000         4.6242639412387372E-05         1.1000000000000000E+03        -2.0036099999999891E+02                   6                    3                   45                    0                   30                    0                    0                    0                    0                    0                   28                    0                    0                    0                    1                    0                    0                    3                    0                    0                    0                    0                    0                    1                   21                    0                  -35                    0                  110                   25                 -134                   16
                  55              5400000         4.6601072378911712E-05         1.1000000000000000E+03        -1.9370999999999898E+02                   6                    3                   44                    0                   27                    2                    0                    0                    0                    0                   27                    0                    0                    0                    1                    0                    0                    3                    0                    0                    0                    0                    0                    2                   21                    0                  -36                    0                  110                   26                 -133                   17
