               Entry              Nevents                           Time                    Temperature                         Energy               C_Pt*               CO_Pt*                 CO2*              CHO_Pt*                   H*                H_Pt*              COH_Pt*             COOH_Pt*               OH_Pt*                 COH*                   O*               CH_Pt*                O_Pt*                  CO*                   C*                 CH3*                COOH*              CH2_Pt*              CH3_Pt*                 CH2*              CO2_Pt*                 CHO*                 H2O*                  CH*                  OH*              H2O_Pt*                  CH4                   O2                   CO                   H2                  CO2                  H2O
                   1                    0         0.0000000000000000E+00         1.0000000000000000E+03         0.0000000000000000E+00                   0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0
                   2               100000         4.0115476130027404E-05         1.0000000000000000E+03        -1.2399999999999389E+00                   8                    1                    2                    0                    3                    1                    0                    0                    0                    0                    2                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -11                    0                    4                   19                   -6                    1
                   3               200000         6.9596610133468545E-05         1.0000000000000000E+03         9.7199999999977926E-01                   8                    1                    1                    0                    2                    1                    0                    0                    0                    0                    2                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -15                    0                   12                   27                   -9                    1
                   4               300000         8.5001780910733750E-05         1.0000000000000000E+03         2.3220000000003065E+00                   8                    1                    1                    0                    4                    1                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -19                    0                   18                   34                  -11                    1
                   5               400000         2.1888281016517791E-04         1.0000000000000000E+03        -8.2649999999988077E-01                   9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -23                    0                   33                   45                  -19                    1
                   6               500000         2.2373715544810093E-04         1.0000000000000000E+03        -3.4649999999998791E+00                   8                    1                    2                    0                    5                    1                    0                    0                    0                    0                    3                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -25                    0                   33                   46                  -21                    1
                   7               600000         2.2403449579479301E-04         1.0000000000000000E+03        -2.9380000000002324E+00                   8                    1                    3                    0                    7                    1                    0                    0                    0                    0                    2                    0                    0                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -28                    0                   34                   50                  -22                    1
                   8               700000         2.2431840028004993E-04         1.0000000000000000E+03         4.5199999999998841E+00                   8                    1                    1                    0                    9                    1                    0                    0                    0                    0                    2                    0                    0                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -29                    0                   34                   52                  -20                    1
                   9               800000         2.2469803495093235E-04         1.0000000000000000E+03         1.1819999999998565E+00                   8                    1                    3                    0                   12                    1                    0                    0                    0                    0                    1                    0                    0                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                  -32                    0                   35                   55                  -22                    1
                  10               900000         2.2501759468809056E-04         1.0000000000000000E+03         4.2650000000000210E+00                   8                    1                    6                    0                    6                    1                    0                    0                    0                    0                    1                    0                    0                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -33                    0                   35                   61                  -25                    1
                  11              1000000         2.2542988642194371E-04         1.0000000000000000E+03         1.8598000000000035E+01                   8                    1                    3                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                    9                    0                    0                    0                    0                    1                    0                    0                    0                    2                    1                    0                  -37                    0                   35                   68                  -22                    1
                  12              1100000         2.2615168559935028E-04         1.0000000000000000E+03         2.4996000000001249E+01                   8                    1                    5                    0                    9                    1                    0                    0                    0                    0                    0                    0                    0                    0                   14                    0                    0                    0                    0                    2                    0                    0                    0                    2                    0                    0                  -44                    0                   36                   79                  -24                    1
                  13              1200000         2.2670184702248364E-04         1.0000000000000000E+03         3.4424999999987875E+01                   8                    1                    5                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                   15                    0                    0                    1                    0                    3                    0                    0                    0                    3                    0                    0                  -48                    0                   36                   87                  -24                    1
                  14              1300000         2.2733506766425430E-04         1.0000000000000000E+03         3.2320999999984359E+01                   8                    1                    9                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                   19                    0                    0                    1                    0                    1                    0                    0                    0                    3                    0                    0                  -50                    0                   36                   92                  -28                    1
                  15              1400000         2.2788122879179639E-04         1.0000000000000000E+03         3.3155999999971449E+01                   8                    1                   11                    0                    9                    1                    0                    0                    0                    0                    0                    0                    0                    0                   22                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                  -52                    0                   36                   96                  -30                    1
                  16              1500000         2.2835094486296087E-04         1.0000000000000000E+03         2.7165999999950536E+01                   8                    1                   14                    0                   11                    0                    0                    0                    0                    0                    0                    0                    0                    0                   22                    0                    0                    1                    0                    0                    0                    0                    0                    5                    0                    0                  -54                    0                   36                   98                  -33                    1
                  17              1600000         2.2911735303430070E-04         1.0000000000000000E+03         2.6930999999951823E+01                   8                    1                   15                    0                   11                    0                    0                    0                    0                    0                    0                    0                    0                    0                   24                    0                    0                    1                    0                    0                    0                    0                    0                    3                    0                    0                  -54                    0                   36                   99                  -34                    1
                  18              1700000         2.2984131393433016E-04         1.0000000000000000E+03         3.7585999999943773E+01                   8                    1                   12                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                   25                    0                    0                    1                    0                    1                    0                    0                    0                    2                    0                    0                  -55                    0                   36                  102                  -31                    1
                  19              1800000         2.3071676579486587E-04         1.0000000000000000E+03         3.2239999999933794E+01                   8                    1                   16                    0                   10                    0                    0                    0                    0                    0                    0                    0                    0                    0                   27                    0                    0                    1                    0                    1                    0                    0                    0                    2                    0                    0                  -57                    0                   36                  105                  -35                    1
                  20              1900000         2.3157736620497461E-04         1.0000000000000000E+03         4.1473999999932445E+01                   8                    1                   12                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                   23                    0                    0                    1                    0                    2                    0                    0                    0                    7                    0                    0                  -59                    0                   36                  107                  -31                    1
                  21              2000000         2.3230771938200442E-04         1.0000000000000000E+03         3.8121999999927780E+01                   8                    1                   15                    0                    8                    0                    0                    0                    0                    0                    1                    0                    0                    0                   24                    0                    0                    1                    0                    3                    0                    0                    0                    8                    0                    0                  -62                    0                   37                  111                  -35                    1
                  22              2100000         2.3360399428278824E-04         1.0000000000000000E+03         5.2043999999927784E+01                   8                    2                   14                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                   30                    0                    0                    0                    0                    6                    0                    0                    0                    3                    0                    0                  -66                    0                   37                  121                  -34                    1
                  23              2200000         2.3531953379499158E-04         1.0000000000000000E+03         6.0258999999929699E+01                   8                    2                   11                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                   30                    0                    0                    0                    0                    2                    0                    0                    0                    6                    0                    0                  -66                    0                   39                  124                  -32                    1
                  24              2300000         2.3706898458253809E-04         1.0000000000000000E+03         6.2756999999950864E+01                   8                    2                   11                    0                    4                    0                    0                    0                    0                    0                    1                    0                    0                    0                   31                    0                    0                    0                    0                    1                    0                    0                    0                    6                    0                    0                  -66                    0                   40                  125                  -33                    1
                  25              2400000         2.3863414917322362E-04         1.0000000000000000E+03         6.9929999999982186E+01                   8                    2                    8                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                   31                    0                    0                    0                    0                    1                    0                    0                    0                    7                    0                    0                  -67                    0                   40                  125                  -30                    2
                  26              2500000         2.3991371344687438E-04         1.0000000000000000E+03         7.0857000000019454E+01                   8                    1                    9                    0                    5                    0                    0                    0                    0                    0                    0                    0                    0                    0                   32                    0                    0                    1                    0                    5                    0                    0                    0                    5                    0                    0                  -71                    0                   41                  129                  -31                    2
                  27              2600000         2.4090784194924920E-04         1.0000000000000000E+03         6.0755000000027877E+01                   8                    1                   14                    0                    8                    1                    0                    0                    0                    0                    0                    0                    0                    0                   31                    0                    0                    0                    0                    3                    0                    0                    0                   11                    0                    0                  -73                    0                   41                  131                  -36                    2
                  28              2700000         2.4196616475474585E-04         1.0000000000000000E+03         7.6754000000030089E+01                   8                    1                    9                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                   33                    0                    0                    1                    0                    4                    0                    0                    0                    8                    0                    0                  -74                    0                   41                  135                  -31                    2
                  29              2800000         2.4316541168502035E-04         1.0000000000000000E+03         6.7917000000030086E+01                   8                    1                   14                    0                    4                    0                    0                    0                    0                    0                    0                    0                    0                    0                   34                    0                    0                    1                    0                    7                    0                    0                    0                    6                    0                    0                  -76                    0                   41                  137                  -36                    2
                  30              2900000         2.4425132907608844E-04         1.0000000000000000E+03         5.6740000000032232E+01                   8                    1                   19                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    0                   32                    0                    0                    1                    0                    4                    0                    0                    0                   12                    0                    0                  -77                    0                   41                  138                  -41                    2
                  31              3000000         2.4789326778840973E-04         1.0000000000000000E+03         5.7139500000039391E+01                   9                    0                   22                    0                   10                    0                    0                    0                    0                    0                    0                    0                    0                    0                   38                    0                    0                    0                    0                    5                    0                    0                    0                    8                    0                    0                  -80                    0                   42                  144                  -44                    2
                  32              3100000         2.5268972335258742E-04         1.0000000000000000E+03         7.3954500000046181E+01                   9                    0                   15                    0                    6                    0                    0                    0                    0                    0                    0                    0                    0                    0                   36                    0                    0                    0                    0                    5                    0                    0                    0                   10                    0                    0                  -80                    0                   42                  145                  -37                    2
                  33              3200000         2.5678623989662774E-04         1.0000000000000000E+03         8.8748500000046135E+01                   9                    0                    9                    0                    3                    0                    0                    0                    0                    0                    0                    0                    0                    0                   37                    0                    0                    0                    0                    7                    0                    0                    0                    7                    0                    0                  -80                    0                   42                  146                  -31                    2
                  34              3300000         2.6161078036051824E-04         1.0000000000000000E+03         8.6029500000046070E+01                   9                    0                   14                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   41                    0                    0                    0                    0                    4                    0                    0                    0                    6                    0                    0                  -80                    0                   42                  151                  -36                    2
                  35              3400000         2.6958237862568347E-04         1.0000000000000000E+03         8.2602500000046149E+01                   9                    0                   16                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   42                    0                    0                    0                    0                    3                    0                    0                    0                    6                    0                    0                  -80                    0                   42                  151                  -38                    2
                  36              3500000         2.7828566524121001E-04         1.0000000000000000E+03         1.0365050000004612E+02                   9                    0                    7                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   42                    0                    0                    0                    0                    3                    0                    0                    0                    6                    0                    0                  -80                    0                   42                  152                  -29                    2
                  37              3600000         2.8416092688268122E-04         1.0000000000000000E+03         1.0999250000004611E+02                   9                    0                    5                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   43                    0                    0                    0                    0                    1                    0                    0                    0                    7                    0                    0                  -80                    0                   42                  153                  -27                    2
                  38              3700000         2.9391150706321834E-04         1.0000000000000000E+03         1.0482650000004614E+02                   9                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   43                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                    0                  -80                    0                   42                  154                  -30                    2
                  39              3800000         3.0021190078389392E-04         1.0000000000000000E+03         1.1619050000004609E+02                   9                    0                    4                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   48                    0                    0                    0                    0                    2                    0                    0                    0                    1                    0                    0                  -80                    0                   42                  155                  -26                    2
                  40              3900000         3.1777188969792683E-04         1.0000000000000000E+03         9.8230500000046092E+01                   9                    0                   12                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   47                    0                    0                    0                    0                    1                    0                    0                    0                    3                    0                    0                  -80                    0                   42                  155                  -34                    2
                  41              4000000         3.3345275789992070E-04         1.0000000000000000E+03         1.1221250000004601E+02                   9                    0                    6                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   47                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                  -80                    0                   44                  156                  -29                    2
                  42              4100000         3.5589546764857889E-04         1.0000000000000000E+03         1.0446650000004610E+02                   9                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   45                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                  -80                    0                   46                  156                  -32                    2
                  43              4200000         3.8162237986442813E-04         1.0000000000000000E+03         8.9318500000046100E+01                   9                    0                   13                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                    0                   44                    0                    0                    0                    0                    0                    0                    0                    0                    4                    0                    0                  -80                    0                   49                  156                  -39                    2
                  44              4300000         4.0773773088488482E-04         1.0000000000000000E+03         9.2924500000046095E+01                   9                    0                   10                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   43                    0                    0                    0                    0                    0                    0                    0                    0                    3                    0                    0                  -80                    0                   52                  156                  -37                    2
                  45              4400000         4.4011325628671348E-04         1.0000000000000000E+03         9.5044500000046142E+01                   9                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   43                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -80                    0                   54                  157                  -37                    2
                  46              4500000         7.4633463793157744E-04         1.0000000000000000E+03         6.4220500000045519E+01                   9                    0                    3                    0                    2                    0                    0                    0                    0                    0                    0                    0                    0                    0                   26                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -81                    0                   90                  158                  -49                    2
                  47              4600000         7.5092281229938043E-04         1.0000000000000000E+03         6.1413000000045180E+01                   8                    1                    4                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                   24                    0                    0                    1                    0                    0                    0                    0                    0                    5                    0                    0                  -84                    0                   93                  162                  -52                    2
                  48              4700000         7.5121001469082493E-04         1.0000000000000000E+03         5.7981000000045199E+01                   8                    1                    6                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                   25                    0                    0                    0                    0                    1                    0                    0                    0                    4                    0                    0                  -84                    0                   93                  162                  -54                    2
                  49              4800000         7.5143150803359338E-04         1.0000000000000000E+03         6.6615000000128532E+01                   8                    1                    2                    0                    1                    1                    0                    0                    0                    0                    0                    0                    0                    0                   26                    0                    0                    0                    0                    2                    0                    0                    0                    2                    0                    0                  -84                    0                   93                  162                  -50                    2
                  50              4900000         7.5208845992906048E-04         1.0000000000000000E+03         6.6002000000147305E+01                   8                    1                    3                    0                    3                    1                    0                    0                    0                    0                    0                    0                    0                    0                   26                    0                    0                    0                    0                    2                    0                    0                    0                    4                    0                    0                  -86                    0                   93                  164                  -51                    2
                  51              5000000         9.0555720772408433E-04         1.0000000000000000E+03         4.6638500000149065E+01                   9                    0                    1                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                   18                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -86                    0                  121                  169                  -63                    3
                  52              5100000         9.8407882726498611E-04         1.0000000000000000E+03         1.7569000000149060E+01                   8                    1                    2                    0                    4                    1                    0                    0                    0                    0                    0                    0                    0                    0                    8                    0                    0                    0                    0                    0                    0                    0                    0                    1                    0                    0                  -89                    0                  146                  172                  -77                    3
                  53              5200000         9.8483815751133821E-04         1.0000000000000000E+03         2.7571000000149120E+01                   8                    1                    1                    0                    5                    1                    0                    0                    0                    0                    0                    0                    0                    0                   12                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                    0                  -92                    0                  146                  178                  -76                    3
                  54              5300000         9.8551430156390302E-04         1.0000000000000000E+03         1.8739000000149108E+01                   8                    1                    7                    0                    9                    0                    0                    0                    0                    0                    0                    0                    0                    0                   14                    0                    0                    1                    0                    0                    0                    0                    0                    1                    0                    0                  -96                    0                  146                  183                  -82                    3
                  55              5400000         9.8616491027272860E-04         1.0000000000000000E+03         2.0104000000149270E+01                   8                    1                    8                    0                    7                    1                    0                    0                    0                    0                    0                    0                    0                    0                   15                    0                    0                    0                    0                    0                    0                    0                    0                    2                    0                    0                  -97                    0                  146                  186                  -83                    3
